id,created_at,updated_at,canceled_at,in_open_list,completion_date_time,reparation_start_date_time,reparation_end_date_time,vehicle_id,contact_id,license_plate,vehicle_identification_number,manufacturer,model,model_type,first_registration,mileage,company,salutation_id,first_name,last_name,street,zip_code,city,email,phone,customer_number,state_id,state_name,state_category,state_ids,order_count,order_numbers,insurer_id,is_huk_relevant,workshop_task_count,work_load_total,gt_case_type,gt_case_kind,gt_zones,gt_severity,gt_insurance_type,gt_lifecycle_stage,freitext
852719,2026-03-21 14:24:01,2026-04-01 07:35:37,,true,2026-03-31 17:35:37,2026-03-27 12:18:44,2026-03-31 15:18:44,118381,148527,QQL-EG 396,ZZH05BYC0RH274567,VW,Tiguan,5N,2014-05-01,229651,,2,Tobias,Vogt,Kiefernweg 118,99084,Erfurt,tobias.vogt32@example.net,+49 (0)175 7380338,387413,12,👍 Fertig zur Abholung,Vorgangsstatus,12|926|612,3,169348|234173|074513,,false,4,137,service,Inspektion,,,,fertig,"VW Tiguan, QQL-EG 396, km 229651
Inspektion: Große Inspektion inkl. Innenraumfilter.
Scheibenwischer schmieren, bitte erneuern.
Rückruf erwünscht bevor zusätzliche Arbeiten.
Termin steht, Dauer ca. 2 Tage."
897113,2026-02-08 17:26:59,2026-03-05 22:43:03,,false,2026-03-05 12:43:03,2026-03-03 16:58:09,2026-03-03 21:58:09,129798,159821,XQM-S 510,ZZBJ4PV24X0314218,VW,Golf,5H,2012-05-17,287999,,,Klaus,Graf,An der Bleiche 6,53111,Bonn,,+49 151 8775617,977523,9,🏁 Abgeholt,Vorgangsstatus,9|238|613,0,,,false,2,90,service,Räder und Reifen,,,,abgeschlossen,"VW Golf, XQM-S 510
Räder und Reifen: Neue Reifen hinten, Kostenangebot Reifen erwünscht.
Batterie schwach, Startprobleme morgens.
Kunde wartet, bitte zügig. Fzg. bleibt über Nacht da.
~~~~~~~~~~~~~
15.02.26 21:26 SB: Rechnung geschrieben"
847039,2026-02-03 07:50:38,2026-02-05 21:27:19,,true,,2026-02-05 15:27:19,,113510,155711,QQA-CW 5800,ZZC766YD8SZ385627,Ford,Fiesta,JHH,2015-04-25,269227,,1,Markus,Kliemann,Lerchenstrasse 43,06108,Halle (Saale),markus.kliemann@example.de,0174 2927420,203189,18,☢️ Auftrag steht ☢️,Vorgangsstatus,18|184|1249,1,007593,,false,1,11,service,HU/AU,,,,laufend,"Ford Fiesta, QQA-CW 5800, km 269227
Kunde meldet: TÜV/HU mit Abgasuntersuchung.
Batterie schwach, Startprobleme morgens.
Bitte anrufen wenn mehr anfällt als besprochen.
Termin nach Teileeingang.
~~~~~~~~~~~~~
08.02.26 12:50 Lack: Kalkulation fertig, an Prüfer
13.02.26 17:50 Teiledienst: Fzg. gewaschen, abholbereit"
842879,2026-02-09 11:26:59,2026-02-17 12:58:57,,true,2026-02-16 14:58:57,2026-02-11 11:36:02,2026-02-13 16:36:02,126851,158658,QQZ-LD 1,ZZCNDUXH9X7882534,Ford,Focus Turnier,DEH,2024-11-15,12686,,1,Marco,Beck,Rosmarinweg 74,06108,Halle (Saale),,+49 178 1639644,054093,1153,👆🚚 Bringservice mit Folgetermin,Vorgangsstatus,1153|398|101|996,2,294866|556378,,false,4,251,service,HU/AU,,,,fertig,"Fzg. vorgefahren, HU/AU fällig, bitte mit Vorabcheck.
Bitte anrufen wenn mehr anfällt als besprochen.
Kunde ist informiert, meldet sich.
~~~~~~~~~~~~~
10.02.26 14:26 TS: Leihwagen reserviert"
860796,2026-03-05 10:44:02,2026-03-06 03:44:02,,true,,,,127386,158884,QQD-TL 7555,ZZG0UFGF3V2702042,Audi,A4 Avant,8W,2019-06-04,149906,,1,Maria,Stein,Am Muehlbach 138,95444,Bayreuth,maria.stein76@example.de,0155 0234368,106389,28,❓Termin unsicher,Vorgangsstatus,28|396|2|998,1,968834,,false,1,77,service,HU/AU,,,,neu,"Lt. Kunde: TÜV/HU mit Abgasuntersuchung.
Kunde holt am Abend ab. Abholung durch Kunde am Nachmittag."
862377,2026-08-10 16:18:33,2026-09-07 16:01:19,,false,2026-09-07 13:01:19,2026-09-02 07:53:46,2026-09-05 14:53:46,100110,138733,ZQB-G 7,ZZBTY5VE1VE930339,BMW,X1,U11,2018-07-25,90927,,,Florian,Krause,Espenstrasse 124,86150,Augsburg,,+49 152 4619737,486964,36,🏁🔜Abgeholt/Ausgeliefert - Folgetermin offen,Vorgangsstatus,36|392,2,240006|258467,,false,3,172,service,Räder und Reifen,,,,abgeschlossen,"Kunde kommt ohne Termin, Räderwechsel mit Wuchten, Reifendruck prüfen.
Kunde ist informiert, meldet sich."
885968,2026-06-24 15:24:31,2026-07-10 05:51:46,,true,,2026-07-09 09:51:46,,128467,152966,XQE-AV 89,ZZB731F52X5592055,Audi,Q2,GA,2022-09-24,26841,,2,Elke,Wendt,Akazienweg 46,34117,Kassel,,+49 173 7935959,396994,157,🛒MECHANIK Teile vorab bestellen!,Vorgangsstatus,157|1308,1,628960,,false,0,0,service,HU/AU,,,,laufend,"Kunde meldet: TÜV/HU mit Abgasuntersuchung.
Servicerückstellung nicht erfolgt, bitte mitmachen.
Leihwagen ja.
Ersatzteil im Rückstand, Kunde informiert.
~~~~~~~~~~~~~
29.06.26 19:24 A. Kaiser: Leihwagen reserviert"
865479,2026-06-18 08:33:53,2026-06-18 22:33:53,,true,,,,115098,134014,QQC-UA 37,ZZJHSDDD6RM356086,Audi,A1 Sportback,GB,2017-06-12,203153,,,Yvonne,Wendt,Veilchenweg 91,60313,Frankfurt am Main,yvonne.wendt@example.org,+49 (0)155 3905123,493799,1559,"🔧📞 Mechanik Termin bitte vereinbaren /Teile, Freigabe eingetroffen",Vorgangsstatus,1559|236|406|499,1,879727,,false,0,0,service,Räder und Reifen,,,,neu,"Räder und Reifen: Räderwechsel mit Wuchten, Reifendruck prüfen.
Bitte Softwarestand prüfen, Rückruf offen.
Kunde wünscht Kostenrahmen vorab.
Fotos liegen im Vorgang."
849692,2026-01-18 13:57:00,2026-01-19 22:57:00,,true,,,,120932,145629,XQ-P 8707,ZZHY49LD9VF566321,Mercedes,GLC,X254,2022-06-21,99756,,,Sven,Kaiser,Lerchenstrasse 101,79098,Freiburg,sven_kaiser@example.com,0162 8565390,748702,1480,Hagel Termin vereinbaren !,Vorgangsstatus,1480|236|110,1,127624,,false,2,135,service,Bremsen,,,,neu,"Mercedes GLC, XQ-P 8707, km 99756
Bei der Annahme festgestellt: Bremsbeläge vorne unter Mindeststärke.
Batterie schwach, Startprobleme morgens.
Rückruf erwünscht bevor zusätzliche Arbeiten. Abholung durch Kunde am Nachmittag.
Bitte Wiedervorlage in einer Woche.
~~~~~~~~~~~~~
20.01.26 14:57 TS: Leihwagen reserviert
22.01.26 17:57 S. Lang: KD informiert, Termin steht"
834726,2026-05-05 16:28:47,2026-05-06 13:28:47,,true,,,,123228,142914,QQN-JC 1499,ZZBUFFVB2SA630267,Ford,Kuga,CX482,2014-07-13,86994,,,Hannah,Hartmann,Am Alten Sportplatz 103,33098,Paderborn,hhartmann@example.com,+49 176 6326418,241218,88,🙂Vorgang angelegt,Vorgangsstatus,88|949|1080|501,1,159078,104,false,4,109,damage,Vandalismus,Kotflügel hinten rechts|Fahrertür|Kotflügel vorne rechts,leicht,vollkasko,neu,"Kunde meldet: Vandalismus, Schaden am 04.05. entdeckt. Kotflügel hinten rechts: Kratzer im Klarlack, ca. 5 cm.
Fahrertür ebenfalls: feine Kratzspuren.
Auch Kotflügel vorne rechts beschädigt (Kratzer im Klarlack).
Kunde möchte Fzg. bis Monatsende zurück. Kunde wartet vor Ort.
Vollkasko, SB 500 EUR, Schadenmeldung raus.
Nach Zerlegung nachkalkulieren.
~~~~~~~~~~~~~
11.05.26 16:28 Servicebüro: Kalkulation fertig, an Prüfer
18.05.26 19:28 A. Thiel: Freigabe Versicherung eingetroffen
19.05.26 22:28 A. Thiel: KD informiert, Termin steht"
